,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,H_GS_H,H_GS_A,H_GR_H,H_GR_A,H_TGS,H_TGR,H_AvGS_H,H_AvGS_A,H_AvGR_H,H_AvGR_A,H_Av_TGS,H_Av_TGR,H_Pnt_H,H_Pnt_A,H_Av_Pnt_H,H_Av_pnt_A,H_T_pnt,H_Av_T_pnt,Aw_GS_H,Aw_GS_A,Aw_GR_H,Aw_GR_A,Aw_TGS,Aw_TGR,Aw_AvGS_H,Aw_AvGS_A,Aw_AvGR_H,Aw_AvGR_A,Aw_Av_TGS,Aw_Av_TGR,Aw_Pnt_H,Aw_Pnt_A,Aw_Av_Pnt_H,Aw_Av_pnt_A,Aw_T_pnt,Aw_Av_T_pnt
188,01/01/17,Arsenal,Crystal Palace,2,0,H,1,0,H,A Marriner,19.0,20.0,10.0,9.0,2.11111111111,2.22222222222,1.11111111111,1.0,20.0,17.0,2.22222222222,1.88888888889,39.0,19.0,2.16666666667,1.05555555556,37.0,2.05555555556,12.0,17.0,13.0,20.0,1.33333333333,1.88888888889,1.44444444444,2.22222222222,7.0,9.0,0.777777777778,1.0,29.0,33.0,1.61111111111,1.83333333333,16.0,0.888888888889
189,01/01/17,Watford,Tottenham,1,4,A,0,3,A,M Oliver,14.0,8.0,13.0,17.0,1.55555555556,0.888888888889,1.44444444444,1.88888888889,14.0,8.0,1.55555555556,0.888888888889,22.0,30.0,1.22222222222,1.66666666667,22.0,1.22222222222,19.0,14.0,5.0,8.0,2.11111111111,1.55555555556,0.555555555556,0.888888888889,23.0,13.0,2.55555555556,1.44444444444,33.0,13.0,1.83333333333,0.722222222222,36.0,2.0
190,02/01/17,Everton,Southampton,3,0,H,0,0,D,K Friend,12.0,13.0,7.0,16.0,1.33333333333,1.3,0.777777777778,1.6,16.0,11.0,1.77777777778,1.1,25.0,23.0,1.31578947368,1.21052631579,27.0,1.42105263158,10.0,9.0,11.0,11.0,1.0,1.0,1.1,1.22222222222,15.0,9.0,1.5,1.0,19.0,22.0,1.0,1.15789473684,24.0,1.26315789474
191,02/01/17,Man City,Burnley,2,1,H,0,0,D,L Mason,17.0,22.0,9.0,12.0,1.88888888889,2.2,1.0,1.2,18.0,21.0,2.0,2.1,39.0,21.0,2.05263157895,1.10526315789,39.0,2.05263157895,19.0,2.0,11.0,18.0,1.72727272727,0.25,1.0,2.25,22.0,1.0,2.0,0.125,21.0,29.0,1.10526315789,1.52631578947,23.0,1.21052631579
192,02/01/17,Middlesbrough,Leicester,0,0,D,0,0,D,R Madley,9.0,8.0,10.0,12.0,1.0,0.8,1.11111111111,1.2,10.0,8.0,1.11111111111,0.8,17.0,22.0,0.894736842105,1.15789473684,18.0,0.947368421053,16.0,8.0,10.0,21.0,1.6,0.888888888889,1.0,2.33333333333,18.0,2.0,1.8,0.222222222222,24.0,31.0,1.26315789474,1.63157894737,20.0,1.05263157895
193,02/01/17,Sunderland,Liverpool,2,2,D,1,1,D,A Taylor,11.0,6.0,15.0,20.0,1.22222222222,0.6,1.66666666667,2.0,10.0,4.0,1.11111111111,0.4,17.0,35.0,0.894736842105,1.84210526316,14.0,0.736842105263,26.0,20.0,7.0,14.0,2.88888888889,2.0,0.777777777778,1.4,23.0,20.0,2.55555555556,2.0,46.0,21.0,2.42105263158,1.10526315789,43.0,2.26315789474
194,02/01/17,West Brom,Hull,3,1,H,0,1,A,M Clattenburg,16.0,9.0,13.0,10.0,1.77777777778,0.9,1.44444444444,1.0,14.0,12.0,1.55555555556,1.2,25.0,23.0,1.31578947368,1.21052631579,26.0,1.36842105263,11.0,5.0,20.0,21.0,1.1,0.555555555556,2.0,2.33333333333,9.0,4.0,0.9,0.444444444444,16.0,41.0,0.842105263158,2.15789473684,13.0,0.684210526316
195,02/01/17,West Ham,Man United,0,2,A,0,0,D,M Dean,9.0,14.0,14.0,19.0,1.0,1.4,1.55555555556,1.9,14.0,8.0,1.55555555556,0.8,23.0,33.0,1.21052631579,1.73684210526,22.0,1.15789473684,16.0,13.0,8.0,11.0,1.6,1.44444444444,0.8,1.22222222222,19.0,17.0,1.9,1.88888888889,29.0,19.0,1.52631578947,1.0,36.0,1.89473684211
196,03/01/17,Bournemouth,Arsenal,3,3,D,2,0,H,M Oliver,16.0,10.0,12.0,19.0,1.77777777778,1.0,1.33333333333,1.9,16.0,8.0,1.77777777778,0.8,26.0,31.0,1.36842105263,1.63157894737,24.0,1.26315789474,21.0,20.0,10.0,9.0,2.1,2.22222222222,1.0,1.0,23.0,17.0,2.3,1.88888888889,41.0,19.0,2.15789473684,1.0,40.0,2.10526315789
197,03/01/17,Crystal Palace,Swansea,1,2,A,0,1,A,P Tierney,12.0,17.0,13.0,22.0,1.33333333333,1.7,1.44444444444,2.2,7.0,9.0,0.777777777778,0.9,29.0,35.0,1.52631578947,1.84210526316,16.0,0.842105263158,14.0,7.0,23.0,21.0,1.4,0.777777777778,2.3,2.33333333333,8.0,4.0,0.8,0.444444444444,21.0,44.0,1.10526315789,2.31578947368,12.0,0.631578947368
198,03/01/17,Stoke,Watford,2,0,H,1,0,H,N Swarbrick,11.0,11.0,13.0,19.0,1.22222222222,1.1,1.44444444444,1.9,12.0,9.0,1.33333333333,0.9,22.0,32.0,1.15789473684,1.68421052632,21.0,1.10526315789,15.0,8.0,17.0,17.0,1.5,0.888888888889,1.7,1.88888888889,14.0,8.0,1.4,0.888888888889,23.0,34.0,1.21052631579,1.78947368421,22.0,1.15789473684
199,04/01/17,Tottenham,Chelsea,2,0,H,1,0,H,M Atkinson,19.0,18.0,5.0,9.0,2.11111111111,1.8,0.555555555556,0.9,23.0,16.0,2.55555555556,1.6,37.0,14.0,1.94736842105,0.736842105263,39.0,2.05263157895,28.0,14.0,6.0,7.0,2.8,1.55555555556,0.6,0.777777777778,27.0,22.0,2.7,2.44444444444,42.0,13.0,2.21052631579,0.684210526316,49.0,2.57894736842
200,14/01/17,Burnley,Southampton,1,0,H,0,0,D,P Tierney,19.0,3.0,11.0,20.0,1.72727272727,0.333333333333,1.0,2.22222222222,22.0,1.0,2.0,0.111111111111,22.0,31.0,1.1,1.55,23.0,1.15,10.0,9.0,11.0,14.0,1.0,0.9,1.1,1.4,15.0,9.0,1.5,0.9,19.0,25.0,0.95,1.25,24.0,1.2
201,14/01/17,Hull,Bournemouth,3,1,H,1,1,D,M Atkinson,11.0,6.0,20.0,24.0,1.1,0.6,2.0,2.4,9.0,4.0,0.9,0.4,17.0,44.0,0.85,2.2,13.0,0.65,19.0,10.0,15.0,19.0,1.9,1.0,1.5,1.9,17.0,8.0,1.7,0.8,29.0,34.0,1.45,1.7,25.0,1.25
